"scientific_name","hosts"
"Mycosphaerella gibsonii","Abies procera (noble fir), Pinus armandii (armand's pine), Pinus ayacahuite (Mexican white pine), Pinus canariensis (Canary pine), Pinus caribaea (Caribbean pine), Pinus cembra (arolla pine), Pinus clausa (sand pine), Pinus contorta (lodgepole pine), Pinus densiflora (Japanese umbrella pine), Pinus echinata (shortleaf pine), Pinus elliottii (slash pine), Pinus flexilis (limber pine), Pinus greggii (Gregg's pine), Pinus halepensis (Aleppo pine), Pinus hartwegii (Hartweg pine), Pinus jeffreyi (Jeffrey pine), Pinus kesiya (khasya pine), Pinus lambertiana (big pine), Pinus luchuensis (luchu pine), Pinus massoniana (masson pine), Pinus maximinoi (thin-leaf pine), Pinus merkusii (Tenasserim pine), Pinus morrisonicola, Pinus mugo (mountain pine), Pinus muricata (bishop pine), Pinus nigra (black pine), Pinus oocarpa (ocote pine), Pinus parviflora (Japanese white pine), Pinus patula (Mexican weeping pine), Pinus pinaster (maritime pine), Pinus pinea (stone pine), Pinus ponderosa (ponderosa pine), Pinus pseudostrobus (pseudostrobus pine), Pinus radiata (radiata pine), Pinus resinosa (red pine), Pinus rigida (pitch pine), Pinus roxburghii (chir pine), Pinus strobus (eastern white pine), Pinus sylvestris (Scots pine), Pinus tabuliformis (chinese pine), Pinus taeda (loblolly pine), Pinus taiwanensis (Taiwan pine), Pinus tecunumanii (tecun uman pine), Pinus thunbergii (Japanese black pine), Pinus wallichiana (blue pine), Tsuga canadensis (eastern hemlock)"
"Globodera rostochiensis","Brassica oleracea (cabbages, cauliflowers), Brassica oleracea var. capitata (cabbage), Datura stramonium (jimsonweed), Lycopersicon pimpinellifolium (currant tomato), Malus (ornamental species apple), Malus domestica (apple), Solanum (nightshade), Solanum aviculare (kangaroo apple), Solanum gilo (gilo), Solanum indicum, Solanum lycopersicum (tomato), Solanum marginatum (white-edged nightshade), Solanum mauritianum (tobacco tree), Solanum melongena (aubergine), Solanum nigrum (black nightshade), Solanum quitoense (naranjilla), Solanum sarrachoides (green nightshade), Solanum tuberosum (potato)"
"Megathyrsus maximus","Agave sisalana (sisal hemp), Ananas comosus (pineapple), Arachis hypogaea (groundnut), Citrus, Cocos nucifera (coconut), Coffea (coffee), Elaeis guineensis (African oil palm), Eucalyptus, Gossypium (cotton), Mangifera, Musa x paradisiaca (plantain), Oryza sativa (rice), pastures, Persea americana (avocado), Saccharum officinarum (sugarcane), Solanum lycopersicum (tomato), Sorghum, Theobroma cacao (cocoa), Zea mays (maize)"
"Tradescantia fluminensis","Populus (poplars)"
"Rhadinaphelenchus cocophilus","Cocos nucifera (coconut), Elaeis guineensis (African oil palm), Oenocarpus distichus, Phoenix canariensis (Canary Island date palm), Phoenix dactylifera (date-palm), Sabal palmetto (Cabbage palmetto)"
"Fusarium oxysporum f.sp. vasinfectum","Abelmoschus esculentus (okra), Cajanus cajan (pigeon pea), Cannabis sativa (hemp), Capsicum (peppers), Capsicum annuum (bell pepper), Coffea (coffee), Gossypium (cotton), Gossypium arboreum (cotton, tree), Gossypium barbadense (Gallini cotton), Gossypium hirsutum (Bourbon cotton), Hevea brasiliensis (rubber), Hibiscus cannabinus (kenaf), Medicago (medic), Nicotiana tabacum (tobacco), Ricinus, Sesamum indicum (sesame), Solanum (nightshade), Vigna (cowpea)"
"Dendroctonus pseudotsugae","Larix occidentalis (western larch), Pseudotsuga macrocarpa (large-coned Douglas fir), Pseudotsuga menziesii (Douglas-fir), Tsuga heterophylla (western hemlock)"
"Helicoverpa zea","Abelmoschus esculentus (okra), Abelmoschus esculentus (okra), Abutilon theophrasti (velvet leaf), Acalypha (Copperleaf), Alcea rosea (Hollyhock), Allium cepa (onion), Amaranthus (amaranth), Amaranthus palmeri (Palmer amaranth), Arachis hypogaea (groundnut), Asparagus officinalis (asparagus), Astragalus crassicarpus, Brachiaria texana, Brassica oleracea (cabbages, cauliflowers), Brassica oleracea var. botrytis (cauliflower), Brassica oleracea var. capitata (cabbage), Brassica oleracea var. viridis (collards), Cajanus cajan (pigeon pea), Canna indica (canna lilly), Cannabis sativa (hemp), Capsicum (peppers), Capsicum annuum (bell pepper), Capsicum frutescens (chilli), Castilleja indivisa, Chenopodium quinoa (quinoa), Chrysanthemum (daisy), Cicer arietinum (chickpea), Citrullus lanatus (watermelon), Citrus, Cleome gynandra (wild spider flower), Cleome spinosa, Coronilla varia, Croptilon divaricum, Crotalaria (rattlepods), Croton hirtus, Cucumis melo (melon), Cucumis sativus (cucumber), Cucurbita pepo (marrow), Cynara cardunculus var. scolymus (globe artichoke), Datura stramonium (jimsonweed), Desmodium rigidum, Desmodium tortuosum (Florida beggarweed), Digitaria sanguinalis (large crabgrass), Erythrina herbacea, Ficus carica (common fig), Fragaria (strawberry), Fragaria ananassa (strawberry), Fragaria chiloensis (Chilean strawberry), Geranium carolinianum (Carolina geranium), Geranium dissectum (cutleaf geranium), Gerbera (Barbeton daisy), Gladiolus (sword lily), Glycine max (soyabean), Gossypium (cotton), Helianthus annuus (sunflower), Helianthus debilis (beach sunflower), Hibiscus rosa-sinensis (Chinese rose), Ipomea cordatotriloba, Ipomoea purpurea (tall morning glory), Jacquemontia tamnifolia (Smallflower morningglory), Kummerowia stipulacea, Lactuca sativa (lettuce), Lamium amplexicaule (henbit deadnettle), Lathyrus hirsutus, Lathyrus latifolius (broad-leaved everlasting pea (UK)), Lespedeza juncea var. sericea (Sericea lespedeza), Linaria canadensis, Linum usitatissimum (flax), Lonicera japonica (Japanese honeysuckle), Ludwigia decurrens, Lupinus (lupins), Lupinus texensis, Medicago lupulina (black medick), Medicago polymorpha (bur clover), Medicago sativa (lucerne), Melilotus albus (honey clover), Melilotus officinalis (yellow sweet clover), Nicotiana tabacum (tobacco), Oenothera (evening primrose), Panicum miliaceum (millet), Panicum scoparium, Persicaria pensylvanica, Petitia, Phaseolus (beans), Phaseolus lanatus, Phaseolus vulgaris (common bean), Physalis (Groundcherry), Pisum sativum (pea), Prunus persica (peach), Pyrus communis (European pear), Rosa (roses), Ruellia ciliatiflora, Ruellia nudiflora var. runyoni, Saccharum officinarum (sugarcane), Salix (willows), Sesamum indicum (sesame), Setaria italica (foxtail millet), Sida, Sida spinosa (teaweed (USA)), Solanum carolinense (horsenettle), Solanum lycopersicum (tomato), Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum rostratum (prickly nightshade), Solanum tuberosum (potato), Sorghum bicolor (sorghum), Sorghum halepense (Johnson grass), Spinacia oleracea (spinach), Stachys agraria, Tagetes (marigold), Trifolium (clovers), Trifolium campestre (Hop trefoil), Trifolium hybridum (alsike clover), Trifolium incarnatum (Crimson clover), Trifolium pratense (red clover), Trifolium repens (white clover), Trifolium resupinatum (Shaftal clover), Triticum aestivum (wheat), Verbena neomexicana, Vicia sativa (common vetch), Vicia villosa (hairy vetch), Vigna unguiculata (cowpea), Vitis (grape), Xanthium (Cocklebur), Xanthium strumarium (common cocklebur), Zea mays (maize), Zea mays subsp. mays (sweetcorn)"
"Erwinia pyrifoliae","Fragaria (strawberry), Fragaria ananassa (strawberry), Pyrus pyrifolia (Oriental pear tree)"
"Urocerus gigas","Abies alba (silver fir), Abies borisii-regis (king Boris fir), Abies cilicica (cilician fir), Abies grandis (grand fir), Abies nordmanniana subsp. equi-trojani, Abies spp., Cedrus atlantica (Atlas cedar), Cedrus sp., Chamaecyparis sp., Fraxinus (ashes), Larix decidua (common larch), Larix spp., Picea abies (common spruce), Picea nigra [P. mariana], Picea sitchensis (Sitka spruce), Picea sp., Pinus cembra (arolla pine), Pinus nigra (black pine), Pinus patula (Mexican weeping pine), Pinus radiata (radiata pine), Pinus sylvestris (Scots pine), Populus sp. (poplar), Pseudotsuga menziesii (Douglas-fir)"
"Seiridium cardinale","Callitris preissii (camphorwood), Callitris rhomboidea (oyster Bay pine), Calocedrus decurrens (bastard cedar), Chamaecyparis lawsoniana (Port Orford cedar), Cryptomeria japonica (Japanese cedar), Cupressocyparis leylandii (Leyland cypress), Cupressocyparis ovensii, Cupressus abramsiana (santa Cruz cypress), Cupressus arizonica (Arizona cypress), Cupressus cashmeriana (weeping cypress), Cupressus forbesii (tecate cypress), Cupressus goveniana (gowen cypress), Cupressus lusitanica (Mexican cypress), Cupressus macnabiana (mcNab's cypress), Cupressus macrocarpa (Monterey cypress), Cupressus pygmaea (mendocino cypress), Cupressus sargentii (sargent's cypress), Cupressus sempervirens (Mediterranean cypress), Cupressus sempervirens var. horizontalis, Fitzroya cupressoides (Patagonian cypress), Juniperus chinensis (Chinese juniper), Juniperus communis (common juniper), Juniperus decurrens, Juniperus excelsa (eastern savin), Juniperus foetidissima, Juniperus occidentalis (western Juniper), Juniperus oxycedrus (prickly juniper), Juniperus phoenicea (phoenician juniper), Juniperus virginiana (eastern redcedar), Libocedrus chilensis (Chilean cedar), Platycladus orientalis (Chinese arborvitae), Thuja occidentalis (Eastern white cedar), Thuja plicata (western redcedar), Thuja standishii (japanese arborvitae), Xanthocyparis nootkatensis (Alaska cedar)"
"Trypodendron domesticum","Acer (maples), Acer macrophyllum (broadleaf maple), Acer pseudoplatanus (sycamore), Alnus glutinosa (European alder), Alnus incana (grey alder), Betula (birches), Betula pendula (common silver birch), Betula pubescens (Downy birch), Caragana, Carpinus betulus (hornbeam), Carpinus orientalis (oriental hornbeam), Castanea sativa (chestnut), Crataegus (hawthorns), Fagus (beeches), Fagus orientalis, Fagus sylvatica (common beech), Fraxinus (ashes), Ilex aquifolium (holly), Juglans (walnuts), Juglans regia (walnut), Malus domestica (apple), Morus alba (mora), Picea abies (common spruce), Pinus sylvestris (Scots pine), Populus tremula (aspen (European)), Prunus (stone fruit), Quercus (oaks), Quercus robur (common oak), Robinia pseudoacacia (black locust), Salix caprea (pussy willow), Sorbus aria (whitebeam), Sorbus aucuparia (mountain ash), Tilia (limes)"
"Pyrrhalta luteola","Eucalyptus, Ulmus (elms), Ulmus americana (American elm), Ulmus davidiana (japanese elm), Ulmus glabra (mountain elm), Ulmus hollandica (hybrid elm), Ulmus minor (European field elm), Ulmus parvifolia (lacebark elm), Ulmus procera (english elm), Ulmus pumila (dwarf elm), Vitis vinifera (grapevine)"
"Kabatiella zeae","Zea mays (maize)"
"Phleum pratense","Festuca (fescues)"
"Didymella fabae","Onobrychis viciifolia (sainfoin), Vicia (vetch), Vicia angustifolia (Narrowleaf vetch), Vicia faba (faba bean), Vicia hirsuta (hairy tare (UK)), Vicia sativa (common vetch), Vicia tetrasperma"
"Monilinia fructigena","Actinidia arguta (tara vine), Amelanchier canadensis (thicket serviceberry), Berberis (barberries), Capsicum (peppers), Chaenomeles japonica (Japanese quince), Cornus mas (cornelian cherry), Corylus avellana (hazel), Cotoneaster, Cotoneaster divaricatus, Crataegus laevigata, Cydonia (quince), Cydonia oblonga (quince), Diospyros kaki (persimmon), Eriobotrya japonica (loquat), Ficus carica (common fig), Fragaria (strawberry), Fragaria ananassa (strawberry), Malus (ornamental species apple), Malus domestica (apple), Malus purpurea, Malus scheideckeri, Malus sieversii, Malus sylvestris (crab-apple tree), Mespilus germanica (medlar), Prunus (stone fruit), Prunus armeniaca (apricot), Prunus avium (sweet cherry), Prunus cerasifera (myrobalan plum), Prunus cerasus (sour cherry), Prunus domestica (plum), Prunus dulcis (almond), Prunus mandshurica, Prunus persica (peach), Prunus persica var. nucipersica (nectarine), Prunus salicina (Japanese plum), Prunus spinosa (blackthorn), Prunus triloba (Rose tree of China), Psidium guajava (guava), Pyrus (pears), Pyrus betulaefolia, Pyrus communis (European pear), Pyrus elaeagrifolia, Pyrus pyrifolia (Oriental pear tree), Pyrus ussuriensis (amur pear), Rhododendron (Azalea), Rosa (roses), Rosa hybrida, Rubus (blackberry, raspberry), Rubus occidentalis (black raspberry), Solanum lycopersicum (tomato), Sorbus (rowan), Sorbus acuparia, Vaccinium (blueberries), Vitis vinifera (grapevine)"
"Eriosoma lanigerum","Amelanchier, Cotoneaster, Cotoneaster horizontalis, Cotoneaster multiflorus, Crataegus, Crataegus coccinea, Crataegus columbiana, Crataegus crus-galli, Crataegus cuneata, Crataegus douglasii, Cydonia oblonga (quince), Malus (ornamental species apple), Malus baccata, Malus domestica (apple), Malus floribunda, Malus fusca, Malus halliana, Malus prunifolia, Malus sieboldii, Malus sieversii, Malus sylvestris (crab-apple tree), Mespilus germanica, Photinia villosa, Prunus domestica (plum), Pyracantha (Firethorn), Pyrus (pears), Pyrus bourgaeana, Pyrus communis (European pear), Pyrus polycarpa, Sorbus, Sorbus americana (American mountainash)"
"Myzus cerasi","Artemisia capillaris, Artemisia scoparia, Artemisia vulgaris (mugwort), Asperula cynanchica, Capsella bursa-pastoris (shepherd&apos;s purse), Cardamine flexuosa, Centaurium erythraea, Centaurium littorale, Cruciata glabra, Cruciata leavipes, Draba hispida, Euphrasia officinalis, Euphrasia stricta, Galium aparine, Galium asperifolium, Galium boreale, Galium intermedium, Galium mollugo (Hedge bedstraw), Galium odoratum (Woodruff), Galium palustre, Galium pseudoaristatum, Galium pumilum, Galium saxatile, Galium uliginosum, Galium verum (lady&apos;s bedstraw), Lepidium ruderale, Melampyrum sylvaticum, Nasturtium officinale (watercress), Odontites verna, Pedicularis sceptrum-carolinum, Plantago major, Plantago maritima, Prunus (stone fruit), Prunus ansu, Prunus armeniaca, Prunus avium (sweet cherry), Prunus cerasifera, Prunus cerasoides, Prunus cerasus, Prunus cornuta, Prunus domestica, Prunus dulcis, Prunus fruticosa, Prunus glandulosa, Prunus jamasakura, Prunus japonica (Japanese bush cherry tree), Prunus lannesiana, Prunus maackii, Prunus mahaleb, Prunus mume (Japanese apricot tree), Prunus pedunculata, Prunus pensylvanica, Prunus persica, Prunus pseudocerasus, Prunus sargentii, Prunus serotina, Prunus serrulata (Japanese flowering cherry), Prunus subhirtella, Prunus tenella, Prunus tianschanica, Prunus tomentosa, Prunus ulmifolia, Prunus verrucosa, Prunus virginiana (common chokecherrytree), Prunus yedoensis, Rhinanthus angustifolius, Rubia cordifolia, Rubia peregrina, Sambucus javanica, Saxifraga rosacea, Sherardia arvensis, Veronica agrestis (Speedwell), Veronica angustifolia, Veronica beccabunga, Veronica chamaedrys, Veronica longifolia, Veronica officinalis, Veronica polita, Veronica scutellata"
"Rhyacionia buoliana","Picea abies (common spruce), Picea pungens (blue spruce), Pinus cembra (arolla pine), Pinus contorta (lodgepole pine), Pinus cooperi, Pinus coulteri (big-cone pine), Pinus douglasiana, Pinus elliottii (slash pine), Pinus halepensis (Aleppo pine), Pinus jeffreyi (Jeffrey pine), Pinus montezumae (montezuma pine), Pinus monticola (western white pine), Pinus mugo (mountain pine), Pinus muricata (bishop pine), Pinus nigra (black pine), Pinus patula (Mexican weeping pine), Pinus pinaster (maritime pine), Pinus pinea (stone pine), Pinus ponderosa (ponderosa pine), Pinus radiata (radiata pine), Pinus resinosa (red pine), Pinus rigida (pitch pine), Pinus sabiniana (Digger pine), Pinus strobus (eastern white pine), Pinus sylvestris (Scots pine), Pinus taeda (loblolly pine), Pinus virginiana (scrub pine), Pseudotsuga menziesii (Douglas-fir)"
"Forficula auricularia","Apium graveolens (celery), Beta vulgaris (beetroot), Brassica oleracea (cabbages, cauliflowers), Brassica rapa (field mustard), Cucumis sativus (cucumber), Dahlia, Daucus carota (carrot), Dianthus (carnation), Dianthus caryophyllus (carnation), Fragaria ananassa (strawberry), Humulus lupulus (hop), Lactuca sativa (lettuce), Lupinus angustifolius (narrow-leaf lupin), Malus domestica (apple), Prunus armeniaca (apricot), Prunus avium (sweet cherry), Prunus domestica (plum), Prunus persica (peach), Pyrus communis (European pear), Rheum hybridum (rhubarb), Rosa (roses), Solanum lycopersicum (tomato), Solanum tuberosum (potato), Vitis vinifera (grapevine), Zea mays (maize), Zinnia"
"Apiognomonia erythrostoma","Prunus (stone fruit), Prunus armeniaca (apricot), Prunus avium (sweet cherry), Prunus cerasifera (myrobalan plum), Prunus cerasus (sour cherry), Prunus cocomilia (Italian plum), Prunus laurocerasus (cherry laurel), Prunus padus (bird cherry), Prunus serrulata (Japanese flowering cherry), Prunus tomentosa (Nanking cherry tree)"
"Apiognomonia errabunda","Acer (maples), Aesculus (buckeye), Betula (birches), Carpinus (hornbeams), Castanea sativa (chestnut), Celtis (nettle tree), Cornus (Dogwood), Corylus, Fagus crenata (Japanese beech), Fagus sylvatica (common beech), Fraxinus (ashes), Quercus alba (white oak), Quercus aliena (oriental white oak), Quercus bicolor (swamp white oak), Quercus cerris (European Turkey oak), Quercus coccinea (scarlet oak), Quercus durandii, Quercus falcata (red oak), Quercus frainetto (Hungarian oak), Quercus garryana (Garry oak), Quercus laurifolia (Laurel oak), Quercus macrocarpa (mossy-cup oak), Quercus nigra (water oak), Quercus palustris (pin oak), Quercus petraea (durmast oak), Quercus phellos (Willow oak), Quercus pubescens (downy oak), Quercus robur (common oak), Quercus rubra (northern red oak), Quercus shumardii (spotted oak), Quercus suber (cork oak), Quercus trojana (Macedonian oak), Quercus velutina (black oak), Quercus virginiana (Live oak), Tilia cordata (small-leaf lime), Tilia europaea"
"Rhaponticum repens","Avena sativa (oats), Hordeum (barleys), Hordeum vulgare (barley), Medicago (medic), Medicago sativa (lucerne), Triticum (wheat), Triticum aestivum (wheat)"
"Moniliophthora perniciosa","Bixa orellana (annatto), Capsicum annuum (bell pepper), Capsicum frutescens (chilli), Herrania, Solanum aethiopicum (african scarlet eggplant), Solanum lycocarpum, Solanum lycopersicum (tomato), Solanum paniculatum, Solanum rugosum, Solanum stipulaceum, Theobroma, Theobroma cacao (cocoa), Theobroma grandiflorum (cupuassu), Theobroma subincanum"
"Bidens pilosa","Allium cepa (onion), Camellia sinensis (tea), Chrysanthemum (daisy), Citrus, Coffea arabica (arabica coffee), Glycine max (soyabean), Gossypium (cotton), Musa (banana), Nicotiana tabacum (tobacco), Oryza sativa (rice), Phaseolus (beans), Saccharum officinarum (sugarcane), Solanum lycopersicum (tomato), Solanum tuberosum (potato), Triticum aestivum (wheat), Vitis (grape), Vitis vinifera (grapevine), Zea mays (maize)"
"Cryphonectria parasitica","Alnus cordata (Italian alder), Castanea (chestnuts), Castanea dentata (American chestnut), Castanea sativa (chestnut), Castanea seguinii (seguin's chestnut), Eucalyptus, Malus domestica (apple), Quercus (oaks), Quercus coccinea (scarlet oak), Quercus frainetto (Hungarian oak), Quercus ilex (holm oak), Quercus petraea (durmast oak), Quercus rubra (northern red oak), Quercus stellata (Post oak)"
"Sphaeropsis sapinea","Abies balsamea (balsam fir), Abies concolor (Rocky Mountain white fir), Abies procera (noble fir), Arceuthobium americanum (lodgepole pine dwarf mistletoe), Cedrus atlantica (Atlas cedar), Cedrus deodara (Himalayan cedar), Cedrus libani (cedar of Lebanon), Chamaecyparis lawsoniana (Port Orford cedar), Corylus avellana (hazel), Cupressus lusitanica (Mexican cypress), Cupressus macrocarpa (Monterey cypress), Cupressus sempervirens (Mediterranean cypress), Juniperus communis (common juniper), Juniperus deppeana (alligator juniper), Juniperus horizontalis (creeping juniper), Juniperus scopulorum (Rocky Mountain juniper), Juniperus virginiana (eastern redcedar), Larix decidua (common larch), Larix laricina (American larch), Picea abies (common spruce), Picea glauca (white spruce), Picea mariana (black spruce), Picea pungens (blue spruce), Picea rubens (red spruce), Picea sitchensis (Sitka spruce), Pinus banksiana (jack pine), Pinus brutia (brutian pine), Pinus canariensis (Canary pine), Pinus caribaea (Caribbean pine), Pinus cembra (arolla pine), Pinus cembroides (Mexican pine), Pinus contorta (lodgepole pine), Pinus coulteri (big-cone pine), Pinus culminicola (sierra Potosí pinyon pine), Pinus douglasiana, Pinus echinata (shortleaf pine), Pinus edulis (pinyon), Pinus elliottii (slash pine), Pinus flexilis (limber pine), Pinus greggii (Gregg's pine), Pinus halepensis (Aleppo pine), Pinus heldreichii (heldreich's pine), Pinus jeffreyi (Jeffrey pine), Pinus kesiya (khasya pine), Pinus massoniana (masson pine), Pinus michoacana (Michoacan pine), Pinus monophylla (single-leaf pinyon pine), Pinus montezumae (montezuma pine), Pinus mugo (mountain pine), Pinus muricata (bishop pine), Pinus nigra (black pine), Pinus oocarpa (ocote pine), Pinus palustris (longleaf pine), Pinus patula (Mexican weeping pine), Pinus peuce (macedonian pine), Pinus pinaster (maritime pine), Pinus pinea (stone pine), Pinus ponderosa (ponderosa pine), Pinus pseudostrobus (pseudostrobus pine), Pinus radiata (radiata pine), Pinus resinosa (red pine), Pinus rigida (pitch pine), Pinus roxburghii (chir pine), Pinus sabiniana (Digger pine), Pinus strobus (eastern white pine), Pinus sylvestris (Scots pine), Pinus tabuliformis (chinese pine), Pinus taeda (loblolly pine), Pinus thunbergii (Japanese black pine), Pinus virginiana (scrub pine), Pinus wallichiana (blue pine), Platycladus orientalis (Chinese arborvitae), Prunus persica (peach), Pseudotsuga macrocarpa (large-coned Douglas fir), Pseudotsuga menziesii (Douglas-fir), Thuja occidentalis (Eastern white cedar), Tsuga canadensis (eastern hemlock)"
"Botryosphaeria berengeriana f.sp. pyricola","Chaenomeles japonica (Japanese quince), Cydonia oblonga (quince), Malus (ornamental species apple), Malus domestica (apple), Malus micromalus, Pyrus (pears), Pyrus communis (European pear), Pyrus pyrifolia (Oriental pear tree)"
"Eupoecilia ambiguella","Acer (maples), Acer campestre (field maple), Ampelopsis, Berberis aquifolium, Cissus quadrangularis (treebine), Citrus limon (lemon), Clematis vitalba (old man's beard), Cornus (Dogwood), Cornus mas (cornelian cherry), Cuscuta (dodder), Cuscuta reflexa (dodder), Daphne gnidium, Eleutherococcus, Euonymus europaeus, Frangula, Frangula alnus (alder buckthorn), Fraxinus (ashes), Galium, Hedera (Ivy), Hedera helix (ivy), Ligustrum (privet), Lonicera (honeysuckles), Lonicera periclymenum (common honeysuckle), Lonicera ramosissima, Medicago sativa (lucerne), Parthenocissus quinquefolia (Virginia creeper), Parthenocissus quinquefolia (Virginia creeper), Prunus (stone fruit), Prunus avium (sweet cherry), Prunus domestica (plum), Prunus spinosa (blackthorn), Pyracantha coccinea (scarlet firethorn), Rhamnus (Buckthorn), Rhus glabra (smooth sumac), Ribes (currants), Ribes nigrum (blackcurrant), Rubus fruticosus (blackberry), Rubus idaeus (raspberry), Sambucus racemosa (red-berried elder), Schisandra chinensis, Silene uniflora, Sorbus aucuparia (mountain ash), Symphoricarpos (snowberry), Symphoricarpos (snowberry), Syringa (lilac), Syringa persica (lilac), Syringa vulgaris (lilac), Viburnum, Viburnum lantana (Wayfaring tree), Vitis (grape), Vitis vinifera (grapevine)"
"Guignardia citricarpa","Aegle marmelos (golden apple), Citrus, Citrus aurantium (sour orange), Citrus limettioides (palestine sweet lime), Citrus limon (lemon), Citrus maxima (pummelo), Citrus medica (citron), Citrus reticulata (mandarin), Citrus sinensis (sweet orange), Dioscorea pentaphylla, Mangifera indica (mango), Psidium guajava (guava)"
